----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
========================================================================================================================================================================================================================================
       Conv2D-1                                              [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                             1,728     
   SyncBatchNorm-1                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-1                                            [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                               0       
       Conv2D-2                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-2                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-2                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
       Conv2D-6                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                             4,096     
   SyncBatchNorm-6                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-6                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
       Conv2D-7                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-7                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-7                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
       Conv2D-8                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                            16,384     
   SyncBatchNorm-8                                          [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
       ConvBN-1                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
       Conv2D-9                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                            16,384     
   SyncBatchNorm-9                                          [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
       ConvBN-2                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
  BottleneckBlock-1                                          [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
      Conv2D-10                                             [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                            16,384     
   SyncBatchNorm-10                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-8                                           [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-11                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-11                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
     ConvBNReLU-9                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-12                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                            16,384     
   SyncBatchNorm-12                                         [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
       ConvBN-3                                              [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
  BottleneckBlock-2                                         [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
      Conv2D-13                                             [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                            16,384     
   SyncBatchNorm-13                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-10                                           [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
