--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
============================================================================================================================================================================================================================================
         Conv2D-1                                                [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                             1,728     
     SyncBatchNorm-1                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBNReLU-1                                              [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                               0       
         Conv2D-2                                                [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
     SyncBatchNorm-2                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
       ConvBNReLU-2                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
         Conv2D-6                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-6                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
       ConvBNReLU-6                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
         Conv2D-7                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               64       
         Conv2D-8                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                              144      
         Conv2D-9                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                              196      
        Conv2D-10                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                              225      
        HSBlock-1                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-7                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
          ReLU-1                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-1                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-11                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
     SyncBatchNorm-8                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
         ConvBN-1                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
          ReLU-2                                                 [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      HSBottleNeck-1                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-12                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-9                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
       ConvBNReLU-7                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-13                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-14                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
        Conv2D-15                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,764     
        Conv2D-16                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,025     
        HSBlock-2                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-10                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
          ReLU-3                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
