----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
==================================================================================================================================================================================================================================
    Conv2D-1                                           [[1, 3, 256, 256]]                                                                               [1, 40, 256, 256]                                              160      
SyncBatchNorm-1                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
  ConvBNReLU-1                                         [[1, 3, 256, 256]]                                                                               [1, 40, 256, 256]                                               0       
    Conv2D-2                                           [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               584      
    Conv2D-3                                           [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,308     
    Conv2D-4                                           [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,778     
    Conv2D-5                                           [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,040     
   HSBlock-1                                           [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
SyncBatchNorm-2                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
HSBlockBNReLU-1                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
    Conv2D-6                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,624     
SyncBatchNorm-3                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBN-1                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    Conv2D-7                                           [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                              256      
SyncBatchNorm-4                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBN-2                                           [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                               0       
 HSBottleNeck-1                                        [[1, 3, 256, 256]]                                                                               [1, 64, 256, 256]                                               0       
    Conv2D-8                                           [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,600     
SyncBatchNorm-5                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
  ConvBNReLU-2                                         [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
    Conv2D-9                                           [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               584      
   Conv2D-10                                           [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,308     
   Conv2D-11                                           [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,778     
   Conv2D-12                                           [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,040     
   HSBlock-2                                           [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
SyncBatchNorm-6                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
HSBlockBNReLU-2                                        [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
   Conv2D-13                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,624     
SyncBatchNorm-7                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBN-3                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
 HSBottleNeck-2                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
  MaxPool2D-1                                          [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
   Conv2D-14                                           [[1, 64, 128, 128]]                                                                              [1, 40, 128, 128]                                             2,600     
SyncBatchNorm-8                                        [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
  ConvBNReLU-3                                         [[1, 64, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-15                                           [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               584      
   Conv2D-16                                           [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,308     
   Conv2D-17                                           [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,778     
   Conv2D-18                                           [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,040     
   HSBlock-3                                           [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
SyncBatchNorm-9                                        [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
HSBlockBNReLU-3                                        [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-19                                           [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,248     
SyncBatchNorm-10                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBN-4                                           [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
   Conv2D-20                                           [[1, 64, 128, 128]]                                                                             [1, 128, 128, 128]                                             8,320     
SyncBatchNorm-11                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBN-5                                           [[1, 64, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
 HSBottleNeck-3                                        [[1, 64, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
   Conv2D-21                                          [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,160     
SyncBatchNorm-12                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
  ConvBNReLU-4                                        [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-22                                           [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               584      
   Conv2D-23                                           [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,308     
   Conv2D-24                                           [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,778     
   Conv2D-25                                           [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,040     
   HSBlock-4                                           [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
SyncBatchNorm-13                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
HSBlockBNReLU-4                                        [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-26                                           [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,248     
SyncBatchNorm-14                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBN-6                                           [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
 HSBottleNeck-4                                       [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
  MaxPool2D-2                                         [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                                0       
   Conv2D-27                                           [[1, 128, 64, 64]]                                                                                [1, 40, 64, 64]                                              5,160     
SyncBatchNorm-15                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
  ConvBNReLU-5                                         [[1, 128, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-28                                            [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                584      
   Conv2D-29                                            [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,308     
   Conv2D-30                                            [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,778     
   Conv2D-31                                            [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,040     
   HSBlock-5                                            [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
SyncBatchNorm-16                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
HSBlockBNReLU-5                                         [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-32                                            [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,496     
SyncBatchNorm-17                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBN-7                                            [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
   Conv2D-33                                           [[1, 128, 64, 64]]                                                                               [1, 256, 64, 64]                                             33,024     
SyncBatchNorm-18                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBN-8                                           [[1, 128, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
 HSBottleNeck-5                                        [[1, 128, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
   Conv2D-34                                           [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,280     
SyncBatchNorm-19                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
  ConvBNReLU-6                                         [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-35                                            [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                584      
   Conv2D-36                                            [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,308     
   Conv2D-37                                            [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,778     
   Conv2D-38                                            [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,040     
   HSBlock-6                                            [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
SyncBatchNorm-20                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
